,2,2,2,2,2,2,2,2,2,1,,
,,,,,,,,,1,1,0,
,,,,,,,,2,1,0,1,2
,,,,,,,17,7,3,1,,1
,,,,,,,22,9,4,,,2
,,,,,,,61,25,,,,
,,,,,,,,,1,0,1,
,,,,,,,,0,0,0,0,
,,,,,,,5,2,1,0,,
,,,,,,,5,2,1,,,
,,,,210,87,36,15,6,,,,1
,,,,280,116,48,20,8,,,,1
,,,,490,203,,,,,,,4
,,,,2240,928,,,,,,,
,,,,,,,2,1,,,,
,,,,17,7,3,1,1,,,,
,,,,46,19,8,3,2,,,,
,,,,63,26,,,,,,,
,,,,298,123,,,,,,,
,,,,49,21,,,,,,,
,,,,154,67,,,,,,,1
,,,,203,88,,,,,,,
,,,,14,5,,,,,,,
,2008,832,344,144,56,,,,,,,
,2201,912,377,158,61,,,,,,,1
,4209,1744,,,,,,,,,,6
,27455,11376,,,,,,,,,,
,175,72,31,10,11,,,,,,,
,675,279,117,45,27,,,,,,,
,850,351,,,,,,,,,,
,5775,2385,,,,,,,,,,
,809,340,,,,,,,,,,
,4355,1836,,,,,,,,,,1
,5164,2176,,,,,,,,,,
,41,11,,,,,,,,,,
3389,1420,549,,,,,,,,,,
3482,1461,560,,,,,,,,,,
379,95,189,,,,,,,,,,
2058,781,496,,,,,,,,,,
