,1,6,1,1,4,1,1,2,1,2,,,
,,,,,,,,,2,1,0,,
,,,,,,,,,1,0,1,3,
,,,,,,23,17,6,5,1,,7,
,,,,,,165,122,43,36,7,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,1,0,1,,
,,,,,,,,,0,0,0,,
,,,,,,4,3,1,1,0,,,
,,,,,,28,21,7,7,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,3,2,,,,,,
,,,,,,25,17,,,,,15,
,,,,,,378,257,,,,,1,
,,,,,677,403,274,,,,,292,
,,,1109649,911330,198319,118054,80265,,,,,1,
,,,1113437,914441,198996,118457,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,1,1,,,,,,
,,,,,,3,4,,,,,,
,,,,,,46,61,,,,,,
,,,,,114,49,65,,,,,,
,,,181329,147934,33395,14354,19041,,,,,,
,2164270,330387,181948,148439,33509,14403,,,,,,1,
,4321177,659650,363277,296373,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,21675,23726,,,,,,,,,
,295085,45556,21749,23807,,,,,,,,,
680123,589166,90957,43424,47533,,,,,,,,1,
1020764,884251,136513,,,,,,,,,,2,
2721651,2357668,,,,,,,,,,,1,7
3742415,3241919,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,98675,11495,,,,,,,,,,,
219966,197015,22951,,,,,,,,,,,
330136,295690,34446,,,,,,,,,,,
880238,788395,,,,,,,,,,,,3
1210374,1084085,,,,,,,,,,,,
