,1,4,1,1,2,1,2,,,
,,,,,,0,0,0,,
,,,,,3,2,1,0,2,
,,,,,6,4,2,,1,
,,,,,9,6,,,2,
,,,88,64,24,16,,,1,
,,,121,88,33,22,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1,0,1,,
,,,,,0,0,0,0,,
,,,,,1,1,0,,,
,,,,,1,1,,,,
,,,12,9,3,3,,,,
,,28,16,12,4,4,,,1,
,,49,28,21,,,,,4,
,,224,128,,,,,,,7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,4,1,,,,,,
,,13,9,4,,,,,,
,85,18,13,5,,,,,,
,401,85,61,,,,,,,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
67,54,13,2,,,,,,,
276,222,54,6,,,,,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
36,31,5,,,,,,,,
210,179,31,,,,,,,1,1
246,210,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
31,23,,,,,,,,,
66,43,,,,,,,,,2
97,66,,,,,,,,,
